date,platform,text,person,truthfulness category
"November28,2022",a post,The 2021 infrastructure bill requires all new vehicles to have kill switches that will stop vehicle operation and alert law enforcement when drivers are impaired.,Instagram posts,barely-true
"November22,2022",Public statement,"“A lot of the programs (that were) started during the pandemic are still going, even though the pandemic is long over.”",Robin Vos,barely-true
"November17,2022",a post,“Joe Biden is being investigated for human trafficking and is guilty.”,Instagram posts,false
"November19,2022",a speech,Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,Raphael Warnock,mostly-true
"November20,2022",a tweet,The Club Q shooting was a “false flag.”,Tweets,pants-fire
"November19,2022",a screenshot,Trump tweeted about his return to Twitter on Nov. 19.,Instagram posts,pants-fire
"November13,2022",a post,"Dr. Anthony Fauci, Ron DeSantis and others “are ALL in a diamond mining business in Oklahoma together!”",Instagram posts,pants-fire
"November9,2022",1.13 million votes counted shortly after Election Day,"“We waited 24 hours and got a measly 62k votes"" in Maricopa County",Mark Finchem,false
"November10,2022",a Truth Social post,"Election results in Clark County, Nevada, and Arizona are not yet known because those places “want more time to cheat.”",Donald Trump,pants-fire
"November8,2022",a post,“Many elections in Bexar are being called with 0% of precincts reporting! I smell MAJOR FRAUD!”,Instagram posts,false
"November3,2022",a video,A video shows a whistleblower creating fraudulent military ballots during the 2020 presidential election.,Instagram posts,false
"November1,2022",a video shared on Instagram,"It’s a sign of fraud that “in 244 counties across the United States, there are more registered voters than there are people legally eligible to vote.”",Instagram posts,false
"November8,2022",a tweet,“Maricopa County intentionally reduced the polling places.”,Charlie Kirk,pants-fire
"November8,2022",election night coverage on Fox News,"“Electronic voting machines didn't allow people to vote” in Maricopa County, Arizona.",Tucker Carlson,false
"November8,2022",a tweet,"“There is no chain of custody” for ballots placed in Box No. 3 at Maricopa, Arizona, polling sites.",Tweets,false
"November6,2022",an Instagram post,Suggests that “since mostly Democrats vote early” then that represents “made-up ballots or dead people voting.”,Instagram posts,false
"October27,2022",a TV segment,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",Tucker Carlson,false
"October31,2022",an interview,Former President Jimmy Carter said “don’t ever use” mail in ballots because “they can be so easily corrupted.”,Donald Trump,false
"November1,2022",an Instagram post,“Two thirds of eligible voters don’t vote.”,Instagram posts,false
"November1,2022",a town hall event,“J.D. Vance said nothing about” the attack on Paul Pelosi.,Tim Ryan,false
"October19,2022",Political ad,"Says ""Ron Johnson is making excuses for rioters who tried to overthrow our government, even calling them ‘peaceful protests.’”",Senate Majority PAC,mostly-true
"October30,2022",an interview on Meet the Press,“One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.,Amy Klobuchar,mostly-true
"July14,2022",Blog post,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,Ron Johnson,barely-true
"October27,2022",a post,"Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5, 2021.",Instagram posts,false
"October27,2022",a tweet,Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,Ted Cruz,barely-true
"October26,2022",a newspaper interview,Blake Masters “wants to privatize” Social Security.,Mark Kelly,barely-true
"October25,2022",an Instagram post,"The documentary “2,000 Mules proves” Democrats “cheated on the 2020 elections.”",Instagram posts,false
"October18,2022",a post,“Eagles fans shout F— Joe Biden while Jill Biden attends NFL game!”,Instagram posts,pants-fire
"October23,2022",an Instagram post,There are no photos of “Biden in the Oval Office” from after early 2021.,Viral image,pants-fire
"October5,2022",an ad,Suggests that an immigrant charged with sexually assaulting a child entered the U.S. illegally during the Biden administration.,Citizens for Sanity,false
"October7,2022",an ad,“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”,Citizens for Sanity,barely-true
"October15,2022",a tweet,Immigrants illegally in the country are treated “better than military veterans.”,Blake Masters,false
"October14,2022",an Instagram post,"Video footage showing Chuck Schumer and Nancy Pelosi hiding on Jan. 6, 2021, shows the U.S. Capitol attack “was a setup.”",Facebook posts,false
"October9,2022",an interview on CBS News' Face the Nation,Kari Lake has “gone on the record saying she supports Arizona's complete abortion ban. She's called it a great law.”,Katie Hobbs,mostly-true
"October9,2022",an interview on CBS News' Face the Nation,“Katie Hobbs voted for allowing a baby who survives an abortion — that the hospital would refuse medical care and allow the baby to die on a cold metal tray.”,Kari Lake,barely-true
"October9,2022",a Facebook post,"“Donald Trump is back on Twitter,” thanks to Elon Musk.",Facebook posts,false
"October4,2022",Public statement,"""To call what happened on January 6 an armed insurrection, I just think is not accurate.""",Ron Johnson,pants-fire
"October6,2022",a video,The Jan. 6 hearing “was abruptly canceled after it was revealed that news networks would not be showing it.”,Facebook posts,false
"August24,2022",statements to the media,On supporting student debt relief.,Tim Ryan,half-flip
"September27,2022",a campaign ad,“I voted with Trump on trade.”,Tim Ryan,mostly-true
"September30,2022",a post,"""Florida schools (were) still open during the start of the hurricane.""",Instagram posts,false
